,Caution
109,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
110,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
111,None
112,"Do not give this medication to a child or teenager with a fever, flu symptoms, or chicken pox. Salicylates can cause Reye's syndrome, a serious and sometimes fatal condition in children."
113,None
114,None
115,None
116,None
117,"Ask a doctor before taking medicine that contains acetaminophen if you have ever had liver disease, or if you drink more than 3 alcoholic beverages per day."
118,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
119,None
120,None
121,None
122,None
123,None
124,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
125,None
126,None
127,None
128,None
129,"Do not use  acetaminophen, chlorpheniramine, and phenylephrine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
130,None
131,None
132,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
133,None
134,None
135,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
136,None
137,None
138,None
139,None
140,None
141,None
142,"Ask a doctor before taking medicine that contains acetaminophen if you have ever had liver disease, or if you drink more than 3 alcoholic beverages per day."
143,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
144,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
145,None
146,None
147,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine."
148,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
149,None
150,None
151,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
152,None
153,None
154,None
155,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
156,None
157,None
158,None
159,None
160,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
161,None
162,None
163,None
164,None
165,None
166,None
167,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
168,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
169,None
170,None
171,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
172,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
173,"Use this medicine exactly as directed. An overdose of acetaminophen can damage your liver or cause death. Taking too much diphenhydramine can lead to serious heart problems, seizures, coma, or death."
174,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
187,"MISUSE OF ACETAMINOPHEN AND HYDROCODONE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
188,You should not use this medication if you have severe liver disease.
189,None
190,None
191,None
192,"Do not give this medication to a child or teenager with a fever, flu symptoms, or chicken pox. Salicylates can cause Reye's syndrome, a serious and sometimes fatal condition in children."
193,None
194,Stop taking acetaminophen and oxycodone and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.
195,None
196,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
197,None
198,"Ask a doctor before taking medicine that contains acetaminophen if you have ever had liver disease, or if you drink more than 3 alcoholic beverages per day."
199,None
200,"Do not use  acetaminophen and phenylephrine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
201,None
202,None
203,None
204,"Do not take more than your recommended dose. An acetaminophen overdose can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
205,"Ask a doctor before taking medicine that contains acetaminophen if you have ever had liver disease, or if you drink more than 3 alcoholic beverages per day."
206,"Do not use more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
207,None
208,None
209,None
210,None
211,None
212,"MISUSE OF  acetaminophen and tramadol CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
213,None
214,You should not use Acetasol HC if you have a hole in your ear drum (ruptured ear drum).
215,"You should not use  acetazolamide if you have cirrhosis, severe liver or kidney disease, an electrolyte imbalance, adrenal gland failure, or an allergy to acetazolamide or sulfa drugs."
216,None
217,None
218,None
219,None
220,None
221,None
222,You should not use acetic acid and hydrocortisone if you have a hole in your ear drum (ruptured ear drum).
223,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
224,None
225,None
226,You should not use acetic acid if you have a hole in your ear drum (ruptured ear drum).
227,None
228,None
229,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
230,"You should not use acetohydroxamic acid if you have kidney disease, or if you have bladder symptoms that have not been checked by a doctor."
231,None
232,None
233,None
234,None
235,None
236,None
237,"In an emergency, you may not be able to tell caregivers about your health conditions. Make sure any doctor caring for you afterward knows you received this medicine."
238,None
239,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
240,None
241,None
242,None
243,None
244,None
245,None
246,None
247,None
248,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
249,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
250,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
251,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
252,None
253,None
254,None
255,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
256,"You should not use AcipHex if you are allergic to rabeprazole or to similar medicines such as lansoprazole (Prevacid), esomeprazole (Nexium), omeprazole (Prilosec, Zegerid), or pantoprazole (Protonix). AcipHex is not for immediate relief of heartburn symptoms."
257,None
258,None
259,"AcipHex Sprinkle can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine."
260,Acitretin can cause severe birth defects. Do not use acitretin if you are pregnant or if you might become pregnant within 3 years after you stop taking  acitretin.
261,None
262,None
263,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
264,None
265,None
266,None
267,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
268,Aclidinium and formoterol is for use only in people with chronic obstructive pulmonary disease (COPD) and should not be used to treat asthma.
269,None
270,None
271,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
272,None
273,None
274,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using  Acne-Clear and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat."
275,None
276,None
277,None
278,"Acnevir can cause a rare but serious allergic reaction or severe skin irritation. Stop using  Acnevir and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat."
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,You should not use  acrivastine and pseudoephedrine if you have severe or uncontrolled high blood pressure or coronary artery disease.
288,You should not use Actamin if you have severe liver disease.
289,None
290,None
291,"Actemra affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, aches, tiredness, cough, skin sores, diarrhea, weight loss, or burning when you urinate."
292,None
293,None
294,None
295,"Follow all directions on the label and package, or use exactly as prescribed by your dentist or doctor."
296,None
297,"You should not use Acthar Gel, H.P. if you have a fungal infection, herpes infection of the eyes, uncontrolled high blood pressure, scleroderma, osteoporosis, adrenal insufficiency (Addison's disease), a past or present stomach ulcer, congestive heart failure, recent surgery, if you are allergic to pork proteins, or if you are scheduled to receive a vaccine."
298,Your child should not receive this vaccine if he or she has ever had an allergic reaction to a haemophilus B or a tetanus vaccine.
299,"Before you receive  Acthrel, tell your doctor about all your medical conditions and allergies."
300,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
301,None
302,None
303,None
304,You should not use this medication if you have ever had an allergic reaction to Actidose-Aqua.
305,None
306,None
307,"Do not use  Actifed Cold & Allergy if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
308,None
309,You should not use Actigall if you have an obstruction in your liver or gallbladder.
310,"Actimmune can lower blood cells that help your body fight infections and help your blood to clot. You may get an infection or bleed more easily. Call your doctor if you have unusual bruising or bleeding, or signs of infection (fever, chills, body aches)."
311,None
312,None
313,None
314,"Actiq can slow or stop your breathing, and may be habit-forming. Use only your prescribed dose. Never share this medicine with another person."
315,None
316,"Activase increases your risk of severe or fatal bleeding, especially from a surgical incision, or from the skin where a needle was inserted. Seek emergency help if you have any bleeding that will not stop."
317,You should not use this medication if you have ever had an allergic reaction to Activated Charcoal.
318,None
319,None
320,None
321,"You should not use  Activella if you have had a hysterectomy, or if you have: undiagnosed vaginal bleeding, liver disease, a bleeding disorder, if you will have major surgery, or if you have ever had a heart attack, a stroke, a blood clot, or cancer of the breast, uterus/cervix, or vagina."
322,None
323,None
324,None
325,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
326,None
327,None
328,"You should not use Actoplus Met if you have severe heart failure, severe kidney disease, active bladder cancer, metabolic acidosis, or ketoacidosis (call your doctor for treatment)."
329,"You should not use  Actoplus Met XR if you have severe heart failure, severe kidney disease, active bladder cancer, metabolic acidosis, or ketoacidosis (call your doctor for treatment)."
330,"You should not use Actos if you have severe or uncontrolled heart failure, active bladder cancer, or diabetic ketoacidosis (call your doctor for treatment with insulin). This medicine is not for treating type 1 diabetes."
331,None
332,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
333,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,Take acyclovir for the entire length of time prescribed by your doctor. Your symptoms may get better before the infection is completely treated.
344,None
345,None
346,None
347,None
348,None
349,None
350,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
351,None
352,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
362,None
363,None
364,None
365,None
366,None
367,"You should not receive this vaccine if you have ever had had a life-threatening allergic reaction to a tetanus, diphtheria, or pertussis vaccine. You also should not receive this vaccine if you had a neurologic disorder affecting your brain within 7 days after having a previous pertussis vaccine."
368,You should not use Adagen if have severe thrombocytopenia (low levels of platelets in blood).
369,None
370,None
371,"You may not be able to use Adalat CC if your heart cannot pump blood properly, or if you also take rifampin."
372," adalimumab affects your immune system. You may get infections more easily, even serious or fatal infections."
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using  adapalene and benzoyl peroxide and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat."
384,None
385,None
386,None
387,None
388,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
389,"You should not use Adasuve inhalation if you have breathing problems that can cause bronchospasm (such as asthma or COPD), or if you are currently having trouble breathing with cough and wheezing. You should not use this medicine if you have ever had breathing problems after using it in the past."
390,None
391,You should not receive Adcetris if you are also receiving another cancer medicine called bleomycin.
392,Taking Adcirca with certain other medicines can cause a sudden and serious decrease in blood pressure.
393,None
394,None
395,None
396,None
397, Adderall XR is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse.
398,None
399,You should not take Addyi within 2 hours after drinking alcohol.
400,"You may need to be tested for HIV before you start taking adefovir. Tell your doctor if you have been exposed to HIV, or if you have untreated HIV or AIDS."
401,None
402,Adempas can cause birth defects. Do not use if you are pregnant. You must use highly effective birth control while taking Adempas and for at least 1 month after your last dose. Do not have unprotected sex.
403,None
404,"Before receiving Adenocard, tell your doctor if you have asthma or other breathing problems, or if you have ever had a seizure."
405,"Before receiving Adenoscan, tell your doctor if you have asthma or other breathing problems, or if you have ever had a seizure."
406,"Before receiving adenosine, tell your doctor if you have asthma or other breathing problems, or if you have ever had a seizure."
407,None
408,None
409,None
410,None
411,Adhansia XR may be habit-forming. Tell your doctor if you have had problems with drug or alcohol abuse.
412,None
413,Do not use Adipex-P if you are pregnant or breast-feeding a baby.
414,None
415,Stop using Adlyxin and call your doctor at once if you have nausea and vomiting with severe pain in your upper stomach spreading to your back.
416,None
417,"Never share an injection pen, cartridge, or syringe with another person, even if the needle has been changed."
418,None
419,None
420,None
421,"Do not use if you are pregnant. Use effective birth control, and tell your doctor if you become pregnant during treatment."
422,None
423,None
424,None
425,None
426,None
427,None
428,None
429,None
430,None
431,None
432,Seek emergency medical attention after any use of epinephrine to treat a severe allergic reaction. After the injection you will need to receive further treatment and observation.
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,"You should not use  Adriamycin if you have severe liver disease, severe heart problems, very low blood cell counts caused by prior chemotherapy, or if you recently had a heart attack."
441,None
442,"You should not use  Adrucil if you have bone marrow depression, a serious infection, or if you are malnourished or are not receiving proper nutrition."
443,None
444,You should not use this medication if your child is allergic to it. Do not apply A & D without a rubber glove or finger cot if you are allergic this medication.
445,None
446,None
447,"You should not use Advair if you are allergic to fluticasone, salmeterol, or milk proteins."
448,Advair Diskus is not a rescue medicine. It will not work fast enough to treat an asthma or bronchospasm attack.
449,None
450,None
451,None
452,Advair HFA is not a rescue medicine. It will not work fast enough to treat an asthma or bronchospasm attack.
453,None
454,None
455,None
456,None
457,None
458,None
459,None
460,None
461,None
462,None
463,None
464,None
465,None
466,None
467,None
468,Do not give  Advil Childrens Allergy Sinus to anyone younger than 6 years old.
469,None
470,"Ibuprofen can increase your risk of fatal heart attack or stroke, especially if you use it long term or take high doses, or if you have heart disease. Do not use  Advil Cold & Sinus just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
471,None
472,"Ibuprofen can increase your risk of fatal heart attack or stroke, especially if you use it long term or take high doses, or if you have heart disease. Do not use  Advil Cold and Sinus Liqui-Gel just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
473,None
474,None
475,None
476,None
477,None
478,Do not give  Advil Multi-Symptom Cold to anyone younger than 6 years old.
479,None
480,"Ibuprofen can increase your risk of fatal heart attack or stroke. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Ibuprofen may also cause stomach or intestinal bleeding, which can be fatal."
481,"Ibuprofen can increase your risk of fatal heart attack or stroke. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Ibuprofen may also cause stomach or intestinal bleeding, which can be fatal."
482,"Do not use  Advil Sinus Congestion & Pain if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
483,None
484,You should not use this medicine if you have ever had a severe allergic reaction to Adynovate in the past.
485,None
486,None
487,None
488,None
489,Adzenys ER may be habit-forming. Tell your doctor if you have ever had drug or alcohol addiction.
490,None
491,Adzenys XR-ODT may be habit-forming. Tell your doctor if you have ever had drug or alcohol addiction.
492,None
493,None
494,None
495,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
496,None
497,"Afinitor can cause serious and sometimes fatal side effects. Call your doctor right away if you have: signs of infection--fever, chills, skin rash, joint pain, tiredness; lung problems--cough, chest pain, wheezing, shortness of breath; kidney problems--swelling, little or no urination; or liver problems--loss of appetite, dark urine, yellowing of your skin or eyes, or upper stomach pain."
498,"Afinitor can cause serious and sometimes fatal side effects. Call your doctor right away if you have: signs of infection--fever, chills, skin rash, joint pain, tiredness; lung problems--cough, chest pain, wheezing, shortness of breath; kidney problems--swelling, little or no urination; or liver problems--loss of appetite, dark urine, yellowing of your skin or eyes, or upper stomach pain."
499,None
500,None
501,None
502,None
503,None
504,None
505,None
506,None
507,"You should not use aflibercept if you have swelling inside your eyes, or any type of infection in or around your eyes."
508,None
509,None
510,None
511,None
512,None
513,None
514,None
515,None
516,Afrin (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common cold.
517,None
518,"Do not use  Afrin 4 Hour Extra Moisturizing if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
519,None
520,None
521,None
522,None
523,None
524,Afrin No Drip Sinus (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common cold.
525,Follow all directions on the product label and package. Ask a doctor or pharmacist if you have questions.
526,None
527,None
528,None
529,You should not use this medicine if you have ever had a severe allergic reaction to Afstyla in the past.
530,None
531,None
532,None
533,None
534,"Many people have a severe reaction to agalsidase beta. Tell your caregiver if you have a skin rash or hives, fever, chills, headache, muscle pain, dizziness, numbness, swelling, vomiting, diarrhea, chest pain, trouble swallowing or breathing, fast or slow heart rate, or severe dizziness."
535,None
536,None
537,"You should not receive  Aggrastat if you have any active internal bleeding (stomach, intestines, etc), a history of bleeding or blood-clotting disorder, if you have ever had low blood platelets after being treated with Aggrastat, or if you have had any type of surgery, injury, or medical emergency within the past 30 days."
538,"You should not use Aggrenox if you have asthma and also have polyps in your nose, or if you are allergic to aspirin or an NSAID (nonsteroidal anti-inflammatory drug)."
539,None
540,None
541,None
542,None
543,None
544,None
545,None
546,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
547,None
548,AK-Con is for temporary relief of minor eye redness or discomfort caused by minor irritants.
549,You should not use AK-Dilate if you have narrow-angle glaucoma.
550,None
551,None
552,None
553,None
554,None
555,None
556,None
557,None
558,None
559,None
560,None
561,None
562,None
563,Do not use  AK-Poly-Bac if you have a viral or fungal infection in your eye. AK-Poly-Bac treats only infections that are caused by bacteria.
564,None
565,Avoid touching your eye until the numbing effects of  AK-Taine have worn off completely.
566,None
567,None
568,None
569,None
570,None
571,None
572,"Before you take Akynzeo, tell your doctor if you are pregnant or plan to become pregnant. Netupitant and palonosetron may harm your unborn baby. Tell your doctor if you are breastfeeding or plan to breastfeed. You and your doctor should decide if you will take Akynzeo or breastfeed. You should not do both."
573,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
574,None
575,None
576,None
577,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
578,None
579,None
580,None
581,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
582,None
583,Do not give this medication to a child younger than 4 years old. Always ask a doctor before giving a cough or cold medicine to a child. Death can occur from the misuse of cough and cold medicines in very young children.
584,None
585,None
586,You should not use antihistamine medication to make a child sleepy.
587,"Do not use  Ala Hist PE if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
588,None
589,None
590,None
591,"You should not use  Ala-Quin if you are allergic to clioquinol, hydrocortisone, iodoquinol or hydroxyquinoline."
592,None
593,None
594,None
595,None
596,None
597,Children younger than 8 years old should not take Ala-Tet.
598,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
599,None
600,"Do not use  Alavert D-12 if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
601,None
602,None
603,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
604,None
605,None
606,Albalon is for temporary relief of minor eye redness or discomfort caused by minor irritants.
607,None
608,None
609,Albendazole may harm an unborn baby. Use effective birth control while taking  albendazole and for at least 3 days after your last dose.
610,None
611,Albenza may harm an unborn baby. Use effective birth control while taking  Albenza and for at least 3 days after your last dose.
